"Time stamp","Monthly AC energy in Year 1 | (kWh/mo)"
"Jan",2.41917e+07
"Feb",2.52969e+07
"Mar",3.44075e+07
"Apr",3.81219e+07
"May",3.49843e+07
"Jun",3.17716e+07
"Jul",3.88592e+07
"Aug",3.08073e+07
"Sep",2.99717e+07
"Oct",2.51944e+07
"Nov",2.02182e+07
"Dec",2.26575e+07
